"name","kingdom","phylum","class","order","family","genus","species","ages_mean"
"Acanthurus gahhm","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus gahhm",3.52180442427322
"Acanthurus grammoptilus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus grammoptilus",5.51598485033617
"Acanthurus guttatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus guttatus",7.10199395480088
"Acanthurus leucocheilus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus",3.83202047260339
"Acanthurus leucopareius","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucopareius",5.31293253603727
"Acanthurus leucosternon","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucosternon",6.42904062896435
"Acanthurus lineatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus lineatus",8.32089454946432
"Acanthurus maculiceps","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus maculiceps",3.86833392706947
"Acanthurus mata","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus mata",2.75361566338665
"Acanthurus nigricans","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricans",5.62693506473852
"Acanthurus nigricauda","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricauda",4.20924748156983
"Acanthurus nigrofuscus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",8.05953757834929
"Acanthurus nigroris","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigroris",8.26896095995722
"Acanthurus nubilus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nubilus",5.78228475108662
"Acanthurus olivaceus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus olivaceus",3.6123694466265
"Acanthurus pyroferus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus pyroferus",5.17988153592079
"Acanthurus reversus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus reversus",3.32824078788093
"Acanthurus sohal","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus sohal",4.21125248832451
"Acanthurus tennentii","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus tennentii",3.40196075490312
"Acanthurus thompsoni","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus thompsoni",5.49909579199818
"Acanthurus triostegus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus",6.09003617794778
"Acanthurus tristis","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus tristis",5.70040645290513
"Acanthurus xanthopterus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus",3.7364739357442
"Achoerodus gouldii","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Achoerodus","Achoerodus gouldii",17.1109501694894
"Achoerodus viridis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Achoerodus","Achoerodus viridis",19.165783473395
"Aetapcus maculatus","Animalia","Chordata","Teleostei","Perciformes","Pataecidae","Aetapcus","Aetapcus maculatus",22.2956609778603
"Aethaloperca rogaa","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Aethaloperca","Aethaloperca rogaa",11.9195350533469
"Afurcagobius tamarensis","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Afurcagobius","Afurcagobius tamarensis",23.9074792577649
"Aioliops brachypterus","Animalia","Chordata","Teleostei","Gobiiformes","Microdesmidae","Aioliops","Aioliops brachypterus",19.1268930635911
"Aioliops novaeguineae","Animalia","Chordata","Teleostei","Gobiiformes","Microdesmidae","Aioliops","Aioliops novaeguineae",17.7870391407219
"Albula glossodonta","Animalia","Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula glossodonta",146.053498380001
"Alectis ciliaris","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Alectis","Alectis ciliaris",13.4245739848664
"Alloclinus holderi","Animalia","Chordata","Teleostei","Blenniiformes","Labrisomidae","Alloclinus","Alloclinus holderi",36.1577261694462
"Allomycterus pilatus","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Allomycterus","Allomycterus pilatus",4.31526001604339
"Alphestes immaculatus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Alphestes","Alphestes immaculatus",9.71892480971348
"Altrichthys azurelineatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Altrichthys","Altrichthys azurelineatus",9.86803561856058
"Altrichthys curatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Altrichthys","Altrichthys curatus",9.33935812353846
"Aluterus scriptus","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus scriptus",13.6451231989504
"Amanses scopas","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Amanses","Amanses scopas",5.28924894803773
"Ambassis jacksoniensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Ambassidae","Ambassis","Ambassis jacksoniensis",103.427961969994
"Amblycirrhitus bimacula","Animalia","Chordata","Teleostei","Centrarchiformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus bimacula",28.3377904862317
"Amblycirrhitus earnshawi","Animalia","Chordata","Teleostei","Centrarchiformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus earnshawi",18.4346914471514
"Amblycirrhitus pinos","Animalia","Chordata","Teleostei","Centrarchiformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus pinos",24.072388124459
"Amblyeleotris fasciata","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris fasciata",15.1077034083162
"Amblyeleotris guttata","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris guttata",15.5823206636235
"Amblyeleotris gymnocephala","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris gymnocephala",17.5750696471856
"Amblyeleotris japonica","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris japonica",16.3525451862567
"Amblyeleotris periophthalma","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris periophthalma",15.0085077294123
"Amblyeleotris steinitzi","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris steinitzi",15.0138269536047
"Amblyeleotris sungami","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris sungami",16.2951639907557
"Amblyeleotris wheeleri","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","Amblyeleotris wheeleri",15.9543339971626
"Amblyglyphidodon aureus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon aureus",10.1284807169216
"Amblyglyphidodon batunaorum","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon batunaorum",NA
"Amblyglyphidodon curacao","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon curacao",9.2371958915036
"Amblyglyphidodon flavilatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon flavilatus",9.63544050524524
"Amblyglyphidodon indicus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon indicus",10.0181634085233
"Amblyglyphidodon leucogaster","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon leucogaster",9.31258180023015
"Amblyglyphidodon melanopterus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon melanopterus",10.7284433721843
"Amblyglyphidodon orbicularis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon orbicularis",9.75222967485936
"Amblyglyphidodon ternatensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon ternatensis",9.8299525247665
"Amblygobius buanensis","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblygobius","Amblygobius buanensis",39.2719349962256
"Amblygobius bynoensis","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblygobius","Amblygobius bynoensis",54.5116143123713
"Amblygobius decussatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblygobius","Amblygobius decussatus",21.2872507484703
"Amblygobius nocturnus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblygobius","Amblygobius nocturnus",19.8196395687834
"Amblygobius phalaena","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblygobius","Amblygobius phalaena",17.5348602051527
"Amblyrhynchote honckenii",NA,NA,NA,NA,NA,NA,NA,NA
"Ammodytes tobianus","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus",37.9765262954378
"Amphichaetodon howensis","Animalia","Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Amphichaetodon","Amphichaetodon howensis",26.9808098903846
"Amphichthys cryptocentrus","Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Amphichthys","Amphichthys cryptocentrus",11.8725591830102
"Amphiprion akallopisos","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion akallopisos",4.62640455395935
"Amphiprion akindynos","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion akindynos",3.98082846164721
"Amphiprion allardi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion allardi",5.79517636794177
"Amphiprion biaculeatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion biaculeatus",NA
"Amphiprion bicinctus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion bicinctus",4.48061312823304
"Amphiprion chrysopterus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion chrysopterus",2.32462733169939
"Amphiprion clarkii","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion clarkii",3.37170227509251
"Amphiprion ephippium","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion ephippium",2.72136247441896
"Amphiprion frenatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion frenatus",2.36537675141787
"Amphiprion fuscocaudatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion fuscocaudatus",11.7928547940398
"Amphiprion latezonatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion latezonatus",6.37063258043691
"Amphiprion leucokranos","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion leucokranos",2.71045655954754
"Amphiprion mccullochi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion mccullochi",3.8734838687469
"Amphiprion melanopus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion melanopus",3.74955836025322
"Amphiprion nigripes","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion nigripes",6.72298335569651
"Amphiprion ocellaris","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion ocellaris",4.22465681348979
"Amphiprion percula","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion percula",3.83729291013795
"Amphiprion perideraion","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion perideraion",3.29271672193496
"Amphiprion rubrocinctus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion rubrocinctus",3.16386697050859
"Amphiprion sandaracinos","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Amphiprion","Amphiprion sandaracinos",2.96467077017774
"Anampses caeruleopunctatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses caeruleopunctatus",9.78513667703949
"Anampses cuvier","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses cuvier",10.5309971984325
"Anampses elegans","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses elegans",10.3302156428495
"Anampses femininus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses femininus",9.59514643057842
"Anampses geographicus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses geographicus",11.7415083884095
"Anampses lennardi","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses lennardi",9.93958882177332
"Anampses lineatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses lineatus",9.78964252694631
"Anampses melanurus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses melanurus",10.1858210720976
"Anampses meleagrides","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses meleagrides",11.2238959174817
"Anampses neoguinaicus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses neoguinaicus",10.7968536801362
"Anampses twistii","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Anampses","Anampses twistii",10.7479951296365
"Anarrhichthys ocellatus","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus",17.4612239851562
"Anisotremus caesius","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus caesius",10.3703396617772
"Anisotremus davidsonii","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus davidsonii",17.2641760958838
"Anisotremus interruptus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus interruptus",13.9018817471284
"Anisotremus scapularis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus scapularis",21.6578845972264
"Anisotremus surinamensis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus surinamensis",6.51983287999933
"Anisotremus taeniatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus taeniatus",6.89207031860147
"Anisotremus virginicus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Anisotremus","Anisotremus virginicus",4.24092405999949
"Anoplocapros amygdaloides","Animalia","Chordata","Teleostei","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros amygdaloides",2.5570311
"Anoplocapros inermis","Animalia","Chordata","Teleostei","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros inermis",2.77914630000029
"Anoplocapros lenticularis","Animalia","Chordata","Teleostei","Tetraodontiformes","Aracanidae","Anoplocapros","Anoplocapros lenticularis",2.96321056
"Anyperodon leucogrammicus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Anyperodon","Anyperodon leucogrammicus",11.3554944684302
"Aphareus furca","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Aphareus","Aphareus furca",9.17504220994102
"Aphareus rutilans","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Aphareus","Aphareus rutilans",11.2176696597533
"Aploactisoma milesii","Animalia","Chordata","Teleostei","Perciformes","Aploactinidae","Aploactisoma","Aploactisoma milesii",20.8588095332771
"Aplodactylus arctidens","Animalia","Chordata","Teleostei","Centrarchiformes","Aplodactylidae","Aplodactylus","Aplodactylus arctidens",15.8421315281125
"Aplodactylus etheridgii","Animalia","Chordata","Teleostei","Centrarchiformes","Aplodactylidae","Aplodactylus","Aplodactylus etheridgii",15.8541797407724
"Aplodactylus lophodon","Animalia","Chordata","Teleostei","Centrarchiformes","Aplodactylidae","Aplodactylus","Aplodactylus lophodon",15.6348758367489
"Aplodactylus westralis","Animalia","Chordata","Teleostei","Centrarchiformes","Aplodactylidae","Aplodactylus","Aplodactylus westralis",14.4280350910251
"Apogon atradorsatus","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon atradorsatus",21.1660461503528
"Apogon atricaudus","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon atricaudus",17.9200842676943
"Apogon binotatus","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon binotatus",16.4196823909585
"Apogon dovii","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon dovii",16.1865822612909
"Apogon imberbis","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon imberbis",16.8731081334937
"Apogon lachneri","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon lachneri",15.862611226151
"Apogon maculatus","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon maculatus",15.7307992954036
"Apogon pacificus","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon pacificus",15.2590601832902
"Apogon retrosella","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon retrosella",17.1453704385861
"Apogon townsendi","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogon","Apogon townsendi",14.6094070823513
"Apogonichthyoides timorensis","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Apogonichthyoides","Apogonichthyoides timorensis",31.1635650314861
"Apolemichthys trimaculatus","Animalia","Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Apolemichthys","Apolemichthys trimaculatus",15.4477713625032
"Aprion virescens","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Aprion","Aprion virescens",30.7873286111153
"Aracana aurita","Animalia","Chordata","Teleostei","Tetraodontiformes","Aracanidae","Aracana","Aracana aurita",1.54708152000023
"Aracana ornata","Animalia","Chordata","Teleostei","Tetraodontiformes","Aracanidae","Aracana","Aracana ornata",0.647543
"Archamia bleekeri","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Archamia","Archamia bleekeri",17.6930216370126
"Arcos poecilophthalmos","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Arcos","Arcos poecilophthalmos",13.9836746199892
"Arenigobius frenatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Arenigobius","Arenigobius frenatus",17.144752277923
"Argyrosomus hololepidotus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Argyrosomus","Argyrosomus hololepidotus",10.6111872195231
"Argyrosomus japonicus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Argyrosomus","Argyrosomus japonicus",13.6843209421394
"Arothron caeruleopunctatus","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron caeruleopunctatus",5.99665994073744
"Arothron diadematus","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron diadematus",8.2839040777708
"Arothron hispidus","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus",5.16306387291359
"Arothron inconditus","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron inconditus",7.79423863836767
"Arothron manilensis","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron manilensis",7.52998706022803
"Arothron mappa","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","Arothron mappa",4.88598259759405
